ID,Brand,Model,Price_INR,Launch_Year,OS,Processor,GPU,RAM_GB,Storage_GB,Expandable_Storage,Display_Size_Inches,Display_Type,Resolution,Refresh_Rate_Hz,Battery_mAh,Fast_Charging_Watts,Wireless_Charging,Primary_Camera_MP,UltraWide_Camera_MP,Telephoto_Camera_MP,Front_Camera_MP,Video_Recording,5G_Support,Dual_SIM,Bluetooth_Version,WiFi_Version,NFC,Fingerprint_Type,Build_Type,Weight_grams,IP_Rating
194,Realme,Realme Pro 194,138657,2026,Android 14,Snapdragon 8 Gen 2,Apple GPU,12,64,Yes,6.4,Super AMOLED,1440x3200,90,5500,120,Yes,50,50,32,16,8K@24fps,Yes,Yes,5.2,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,190,IP67
195,Nothing,Nothing Pro 195,90742,2021,Android 14,Snapdragon 7 Gen 1,Xclipse 920,12,1024,No,6.4,IPS LCD,1080x2400,120,6000,25,No,50,50,32,16,4K@60fps,Yes,Yes,5.3,WiFi 5,Yes,In-display,Metal Frame Glass Back,213,IP67
196,Nokia,Nokia Pro 196,139796,2023,iOS 16,Exynos 2200,Xclipse 920,4,128,No,6.8,IPS LCD,720x1600,60,6000,65,Yes,200,8,8,16,4K@60fps,Yes,No,5.3,WiFi 6,No,In-display,Metal Frame Glass Back,213,IP68
197,OnePlus,OnePlus Pro 197,12130,2022,iOS 16,A16 Bionic,Mali-G710,4,128,Yes,6.4,IPS LCD,1080x2400,90,4500,25,No,50,12,8,32,8K@24fps,No,No,5.2,WiFi 6E,Yes,Side-mounted,"Glass Front, Plastic Back",180,IP68
198,Realme,Realme Pro 198,40382,2026,iOS 16,Snapdragon 8 Gen 2,Mali-G710,12,512,Yes,6.5,Super AMOLED,1440x3200,60,6000,120,No,200,8,12,50,8K@24fps,Yes,Yes,5,WiFi 6,Yes,Rear-mounted,Glass Front/Back,212,IP67
199,Oppo,Oppo Pro 199,74916,2021,Android 14,Dimensity 920,Xclipse 920,6,1024,No,6.4,IPS LCD,720x1600,90,6000,33,Yes,108,50,32,8,8K@24fps,Yes,Yes,5,WiFi 5,Yes,Rear-mounted,Glass Front/Back,186,IP68
200,Motorola,Motorola Pro 200,69456,2024,iOS 17,A16 Bionic,Apple GPU,16,64,No,6.5,LTPO AMOLED,720x1600,60,4000,33,No,48,50,12,16,1080p@60fps,No,No,5.2,WiFi 6E,Yes,Rear-mounted,"Glass Front, Plastic Back",203,IP68
201,Vivo,Vivo Pro 201,134712,2024,iOS 16,Snapdragon 8 Gen 2,Adreno 740,4,1024,No,6.8,OLED,720x1600,90,6000,33,Yes,200,8,8,16,8K@24fps,No,Yes,5.1,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",178,IP52
202,Samsung,Samsung Pro 202,95976,2020,iOS 16,A16 Bionic,Apple GPU,16,128,Yes,6.7,LTPO AMOLED,1440x3200,60,4000,18,No,200,50,32,8,4K@30fps,No,Yes,5.3,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,235,IP53
203,Vivo,Vivo Pro 203,91673,2021,Android 14,Dimensity 8200,Xclipse 920,8,512,No,6.7,IPS LCD,1080x2400,120,6000,18,Yes,64,16,8,8,4K@60fps,Yes,No,5,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,200,No Rating
204,Motorola,Motorola Pro 204,22291,2022,iOS 17,A16 Bionic,Apple GPU,8,1024,Yes,6.7,IPS LCD,1080x2400,90,5000,65,Yes,108,8,8,16,8K@24fps,No,No,5.1,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",226,IP53
205,Xiaomi,Xiaomi Pro 205,106868,2026,iOS 17,Snapdragon 8 Gen 2,Mali-G710,16,256,No,6.4,LTPO AMOLED,1080x2400,120,4000,120,Yes,64,12,12,16,8K@24fps,Yes,No,5,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,211,No Rating
206,Xiaomi,Xiaomi Pro 206,47644,2026,iOS 16,Dimensity 920,Xclipse 920,6,128,Yes,6.1,AMOLED,720x1600,144,5500,45,No,108,50,12,8,8K@24fps,No,Yes,5.1,WiFi 5,No,Side-mounted,Metal Frame Glass Back,183,IP52
207,Nothing,Nothing Pro 207,16250,2020,Android 14,Snapdragon 8 Gen 1,Mali-G710,6,1024,No,6.1,AMOLED,1440x3200,144,4500,45,Yes,48,16,12,8,1080p@60fps,No,Yes,5,WiFi 6E,No,Rear-mounted,Glass Front/Back,187,IP68
208,Samsung,Samsung Pro 208,44991,2026,iOS 16,Snapdragon 8 Gen 1,Mali-G710,16,128,Yes,6.4,LTPO AMOLED,1080x2400,144,5000,65,No,50,50,32,50,4K@30fps,No,Yes,5.3,WiFi 6,Yes,Rear-mounted,Glass Front/Back,232,No Rating
209,Realme,Realme Pro 209,85955,2020,iOS 16,A16 Bionic,Xclipse 920,6,128,Yes,6.5,AMOLED,1440x3200,120,6000,120,Yes,48,16,12,32,8K@24fps,No,No,5.2,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,213,IP53
210,Nothing,Nothing Pro 210,94208,2026,Android 13,A16 Bionic,Xclipse 920,6,64,Yes,6.7,OLED,1440x3200,120,6000,65,No,48,16,8,32,4K@30fps,No,No,5.3,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",169,IP67
211,Vivo,Vivo Pro 211,130813,2020,iOS 16,Snapdragon 8 Gen 2,Apple GPU,8,1024,Yes,6.5,LTPO AMOLED,720x1600,120,5500,33,No,64,12,8,16,4K@30fps,No,No,5.3,WiFi 6,No,Side-mounted,Glass Front/Back,206,IP68
212,Xiaomi,Xiaomi Pro 212,27756,2025,iOS 16,Dimensity 920,Apple GPU,6,512,No,6.1,OLED,1080x2400,120,5000,120,Yes,64,16,8,50,1080p@60fps,No,No,5.1,WiFi 6E,No,In-display,"Glass Front, Plastic Back",176,IP52
213,Nothing,Nothing Pro 213,112113,2023,Android 13,Snapdragon 8 Gen 1,Adreno 730,4,256,No,6.7,IPS LCD,720x1600,144,5000,33,Yes,108,16,12,8,8K@24fps,Yes,Yes,5.2,WiFi 6,Yes,In-display,Glass Front/Back,160,IP68
214,Nothing,Nothing Pro 214,39270,2025,Android 14,Dimensity 8200,Adreno 730,4,512,Yes,6.1,AMOLED,720x1600,120,6000,45,Yes,64,50,8,32,4K@60fps,Yes,No,5.2,WiFi 6E,No,Side-mounted,"Glass Front, Plastic Back",177,IP67
215,Oppo,Oppo Pro 215,146686,2026,Android 14,Snapdragon 8 Gen 2,Mali-G710,12,256,No,6.7,OLED,1440x3200,120,6000,45,Yes,64,12,12,16,4K@30fps,No,Yes,5,WiFi 5,Yes,In-display,Metal Frame Glass Back,189,IP52
216,Samsung,Samsung Pro 216,32823,2025,Android 14,Snapdragon 8 Gen 2,Adreno 730,6,256,Yes,6.5,Super AMOLED,1080x2400,144,4500,18,No,200,12,32,50,1080p@60fps,Yes,Yes,5.1,WiFi 6,Yes,In-display,Glass Front/Back,194,IP52
217,Xiaomi,Xiaomi Pro 217,40984,2020,iOS 17,Snapdragon 8 Gen 2,Mali-G710,4,256,No,6.5,OLED,720x1600,144,4500,45,Yes,64,16,32,32,8K@24fps,No,No,5.1,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",161,IP53
218,Realme,Realme Pro 218,127169,2025,iOS 16,Exynos 2200,Xclipse 920,6,512,Yes,6.1,AMOLED,1080x2400,90,4500,25,Yes,200,12,32,8,4K@60fps,No,No,5.1,WiFi 6,Yes,In-display,Metal Frame Glass Back,214,IP68
219,Oppo,Oppo Pro 219,129437,2024,Android 13,Exynos 2200,Mali-G710,12,64,Yes,6.5,LTPO AMOLED,720x1600,120,5000,33,Yes,48,8,8,50,1080p@60fps,No,No,5,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,198,IP68
220,Motorola,Motorola Pro 220,146350,2026,iOS 17,Snapdragon 7 Gen 1,Adreno 740,4,256,Yes,6.7,OLED,1440x3200,90,4000,120,No,50,8,8,8,8K@24fps,Yes,No,5.1,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",198,IP53
221,Oppo,Oppo Pro 221,127663,2024,iOS 17,Dimensity 920,Adreno 730,6,1024,No,6.8,OLED,1080x2400,90,5500,25,No,108,12,32,16,4K@30fps,Yes,Yes,5.1,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",212,IP68
222,Nokia,Nokia Pro 222,126929,2026,iOS 16,Dimensity 8200,Apple GPU,4,1024,Yes,6.7,LTPO AMOLED,1080x2400,60,4000,18,Yes,50,50,8,32,4K@60fps,No,Yes,5.3,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",212,IP67
223,Realme,Realme Pro 223,105141,2020,iOS 16,Dimensity 8200,Adreno 730,4,64,No,6.7,IPS LCD,720x1600,60,5000,18,No,64,12,12,50,4K@30fps,No,No,5.2,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",221,No Rating
224,Oppo,Oppo Pro 224,121726,2025,Android 14,Snapdragon 8 Gen 1,Adreno 730,12,128,Yes,6.7,OLED,720x1600,144,5000,25,Yes,108,50,8,16,4K@60fps,Yes,No,5.1,WiFi 6,No,In-display,"Glass Front, Plastic Back",229,IP68
225,Apple,Apple Pro 225,52137,2020,Android 14,Snapdragon 8 Gen 1,Adreno 730,16,512,No,6.8,Super AMOLED,720x1600,144,4500,45,No,200,50,8,8,4K@60fps,No,No,5.1,WiFi 6E,Yes,Rear-mounted,Glass Front/Back,198,IP52
226,Vivo,Vivo Pro 226,116034,2025,Android 14,Snapdragon 7 Gen 1,Adreno 730,4,256,No,6.5,OLED,720x1600,60,5000,33,Yes,48,16,8,50,4K@30fps,Yes,No,5,WiFi 5,No,Side-mounted,Metal Frame Glass Back,239,No Rating
227,Xiaomi,Xiaomi Pro 227,15662,2025,Android 13,A16 Bionic,Apple GPU,4,256,Yes,6.5,Super AMOLED,1440x3200,144,4500,80,Yes,50,12,8,32,4K@30fps,Yes,Yes,5,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",186,IP67
228,Xiaomi,Xiaomi Pro 228,100407,2022,Android 14,Snapdragon 7 Gen 1,Adreno 730,12,128,Yes,6.5,IPS LCD,1440x3200,90,4500,25,No,200,12,12,32,4K@30fps,Yes,Yes,5.2,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,209,IP68
229,Apple,Apple Pro 229,86039,2021,iOS 16,Dimensity 8200,Xclipse 920,4,512,Yes,6.1,Super AMOLED,720x1600,120,4500,25,Yes,50,16,32,50,4K@30fps,No,Yes,5,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,215,IP67
230,Nothing,Nothing Pro 230,13888,2026,iOS 17,Dimensity 920,Mali-G710,4,1024,No,6.4,OLED,720x1600,90,4500,65,No,48,8,12,8,4K@60fps,Yes,Yes,5,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,220,IP68
231,Nokia,Nokia Pro 231,10613,2026,Android 14,Exynos 2200,Mali-G710,8,256,Yes,6.7,OLED,1080x2400,144,6000,80,Yes,64,16,8,16,1080p@60fps,Yes,Yes,5.3,WiFi 6,No,In-display,"Glass Front, Plastic Back",232,IP67
232,Xiaomi,Xiaomi Pro 232,49132,2026,Android 14,Snapdragon 8 Gen 1,Mali-G710,4,1024,Yes,6.1,IPS LCD,1440x3200,144,4000,65,Yes,108,16,8,50,4K@60fps,No,Yes,5.3,WiFi 6,No,Rear-mounted,Glass Front/Back,195,IP53
233,Realme,Realme Pro 233,43825,2024,Android 13,Dimensity 920,Adreno 730,6,128,Yes,6.4,Super AMOLED,1440x3200,60,4000,65,Yes,200,16,32,8,4K@30fps,No,No,5,WiFi 5,Yes,Rear-mounted,Glass Front/Back,219,IP68
234,Samsung,Samsung Pro 234,74992,2021,Android 14,Dimensity 8200,Adreno 740,12,128,No,6.4,AMOLED,1080x2400,90,6000,120,Yes,48,12,12,16,1080p@60fps,Yes,Yes,5,WiFi 5,No,Side-mounted,Glass Front/Back,196,No Rating
235,Nothing,Nothing Pro 235,106256,2025,iOS 17,Snapdragon 7 Gen 1,Xclipse 920,4,128,No,6.7,OLED,1080x2400,60,6000,45,No,64,8,8,8,8K@24fps,No,No,5.2,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,201,IP52
236,Samsung,Samsung Pro 236,126895,2021,iOS 16,Snapdragon 8 Gen 1,Adreno 730,8,256,No,6.5,AMOLED,1440x3200,90,4500,80,No,200,12,8,50,8K@24fps,No,Yes,5.1,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,239,IP52
237,Samsung,Samsung Pro 237,117655,2023,Android 14,Snapdragon 7 Gen 1,Apple GPU,6,64,Yes,6.4,OLED,1080x2400,90,4000,45,No,64,16,8,50,1080p@60fps,Yes,No,5,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",214,IP52
238,Realme,Realme Pro 238,14765,2025,iOS 17,Snapdragon 8 Gen 2,Mali-G710,12,1024,Yes,6.5,OLED,720x1600,60,5500,33,No,64,12,8,50,4K@60fps,Yes,Yes,5.2,WiFi 6,No,In-display,Glass Front/Back,211,IP52
239,Oppo,Oppo Pro 239,97173,2026,Android 14,Exynos 2200,Mali-G710,8,1024,No,6.1,IPS LCD,1080x2400,144,5500,45,Yes,50,50,12,32,8K@24fps,Yes,No,5.3,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",169,IP52
240,Apple,Apple Pro 240,58967,2026,iOS 16,Snapdragon 8 Gen 1,Xclipse 920,16,256,Yes,6.5,Super AMOLED,720x1600,90,6000,120,Yes,64,50,8,50,4K@60fps,Yes,No,5.1,WiFi 6E,No,Rear-mounted,Glass Front/Back,231,IP68
241,Xiaomi,Xiaomi Pro 241,134343,2020,Android 13,Exynos 2200,Mali-G710,16,128,Yes,6.7,OLED,1080x2400,90,5000,45,No,48,50,8,16,1080p@60fps,No,Yes,5.2,WiFi 5,No,In-display,Metal Frame Glass Back,222,IP53
242,Samsung,Samsung Pro 242,16308,2025,Android 14,Dimensity 8200,Xclipse 920,6,512,No,6.8,OLED,1440x3200,120,4000,33,No,200,16,32,50,1080p@60fps,Yes,Yes,5,WiFi 6,Yes,In-display,Metal Frame Glass Back,207,IP67
243,Nothing,Nothing Pro 243,142239,2023,Android 13,Dimensity 8200,Apple GPU,16,64,No,6.4,AMOLED,720x1600,144,5500,80,No,48,16,8,16,4K@30fps,No,Yes,5,WiFi 5,No,In-display,"Glass Front, Plastic Back",206,IP52
244,OnePlus,OnePlus Pro 244,110559,2021,Android 13,A16 Bionic,Adreno 730,16,64,No,6.8,OLED,720x1600,60,4500,80,Yes,48,16,32,16,4K@60fps,Yes,Yes,5,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",209,IP53
245,Realme,Realme Pro 245,57125,2021,Android 14,Snapdragon 8 Gen 2,Xclipse 920,4,64,Yes,6.4,Super AMOLED,1080x2400,144,4000,25,Yes,48,8,32,32,4K@30fps,Yes,No,5.3,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",168,No Rating
246,Xiaomi,Xiaomi Pro 246,64652,2023,Android 13,Snapdragon 8 Gen 1,Adreno 740,12,256,No,6.7,OLED,1080x2400,144,4000,18,No,50,12,12,50,8K@24fps,Yes,Yes,5.2,WiFi 5,No,In-display,"Glass Front, Plastic Back",168,IP52
247,Realme,Realme Pro 247,17740,2026,iOS 17,Dimensity 8200,Apple GPU,16,512,Yes,6.1,OLED,1440x3200,120,6000,45,Yes,108,12,32,8,1080p@60fps,No,No,5.3,WiFi 5,No,Side-mounted,"Glass Front, Plastic Back",231,IP52
248,Motorola,Motorola Pro 248,109408,2023,Android 13,Dimensity 8200,Mali-G710,16,256,Yes,6.1,LTPO AMOLED,1080x2400,90,5500,80,No,64,50,8,50,4K@60fps,No,Yes,5.1,WiFi 6E,Yes,Side-mounted,"Glass Front, Plastic Back",162,IP53
249,Vivo,Vivo Pro 249,27857,2020,Android 14,Dimensity 8200,Xclipse 920,8,256,No,6.5,IPS LCD,1440x3200,60,4000,18,Yes,64,8,12,50,4K@60fps,Yes,No,5,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",230,IP52
250,Xiaomi,Xiaomi Pro 250,97065,2024,Android 13,Snapdragon 7 Gen 1,Adreno 730,6,512,Yes,6.7,Super AMOLED,1080x2400,144,6000,33,Yes,50,12,32,8,8K@24fps,Yes,Yes,5.2,WiFi 6E,Yes,In-display,Metal Frame Glass Back,212,IP67
251,Realme,Realme Pro 251,146986,2020,Android 14,A16 Bionic,Adreno 740,12,512,No,6.5,LTPO AMOLED,720x1600,60,5500,45,No,48,8,8,16,1080p@60fps,Yes,No,5.1,WiFi 6E,Yes,Side-mounted,Glass Front/Back,203,IP68
252,Vivo,Vivo Pro 252,94610,2021,Android 13,Snapdragon 8 Gen 1,Adreno 730,6,128,Yes,6.4,AMOLED,1440x3200,60,4000,65,Yes,50,16,12,16,4K@60fps,No,Yes,5.2,WiFi 5,No,Side-mounted,Glass Front/Back,171,IP52
253,Oppo,Oppo Pro 253,110722,2023,iOS 16,Exynos 2200,Apple GPU,6,512,No,6.4,OLED,1440x3200,90,4500,65,No,48,8,12,16,4K@30fps,Yes,Yes,5.2,WiFi 6E,Yes,Rear-mounted,"Glass Front, Plastic Back",200,IP68
254,Realme,Realme Pro 254,125384,2023,Android 13,Dimensity 920,Adreno 740,8,256,No,6.1,AMOLED,1440x3200,90,5000,45,No,50,16,12,16,1080p@60fps,Yes,Yes,5.2,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",161,IP52
255,Realme,Realme Pro 255,65268,2023,Android 14,Snapdragon 7 Gen 1,Apple GPU,12,256,No,6.8,OLED,1440x3200,144,4500,80,No,48,8,8,50,4K@30fps,No,Yes,5.1,WiFi 5,No,Side-mounted,Metal Frame Glass Back,185,IP67
256,Samsung,Samsung Pro 256,124529,2025,Android 14,Dimensity 8200,Xclipse 920,16,1024,Yes,6.8,Super AMOLED,1440x3200,120,6000,18,Yes,64,8,32,32,4K@30fps,Yes,Yes,5.3,WiFi 6,Yes,Rear-mounted,Metal Frame Glass Back,191,IP68
257,Vivo,Vivo Pro 257,148438,2020,Android 13,Dimensity 8200,Adreno 740,6,64,No,6.7,IPS LCD,1080x2400,144,5000,120,No,108,16,32,8,4K@60fps,No,No,5.1,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",227,IP68
258,Xiaomi,Xiaomi Pro 258,50304,2022,Android 13,Snapdragon 8 Gen 1,Mali-G710,8,128,No,6.5,AMOLED,1080x2400,90,4000,45,No,108,50,32,50,4K@60fps,No,Yes,5.3,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,222,IP53
259,Apple,Apple Pro 259,87468,2022,iOS 16,Exynos 2200,Apple GPU,6,128,Yes,6.7,IPS LCD,1080x2400,60,5000,33,Yes,108,16,8,8,4K@30fps,No,No,5.3,WiFi 6E,Yes,In-display,Glass Front/Back,223,IP53
260,Oppo,Oppo Pro 260,69436,2021,iOS 17,Dimensity 8200,Mali-G710,6,1024,No,6.7,AMOLED,1440x3200,120,5500,45,No,108,50,12,32,8K@24fps,No,No,5.3,WiFi 5,No,In-display,Metal Frame Glass Back,223,IP53
261,Motorola,Motorola Pro 261,47879,2026,Android 13,Snapdragon 7 Gen 1,Apple GPU,16,64,No,6.8,LTPO AMOLED,720x1600,60,5000,18,No,50,50,32,50,4K@30fps,No,No,5.1,WiFi 5,No,In-display,Glass Front/Back,178,IP68
262,Apple,Apple Pro 262,73383,2026,Android 13,Dimensity 920,Xclipse 920,4,512,Yes,6.8,IPS LCD,1440x3200,120,5000,45,No,48,12,12,32,4K@30fps,No,No,5,WiFi 6E,No,Rear-mounted,Glass Front/Back,188,IP67
263,Apple,Apple Pro 263,96851,2025,Android 14,Snapdragon 8 Gen 2,Adreno 730,8,256,No,6.5,Super AMOLED,720x1600,144,4500,33,Yes,200,12,32,32,1080p@60fps,No,Yes,5.1,WiFi 6,No,In-display,Metal Frame Glass Back,215,No Rating
264,Oppo,Oppo Pro 264,141749,2026,Android 14,Snapdragon 7 Gen 1,Adreno 730,12,128,Yes,6.1,OLED,720x1600,120,5000,33,Yes,50,8,32,32,8K@24fps,No,No,5,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",217,No Rating
265,Oppo,Oppo Pro 265,116356,2026,Android 14,Snapdragon 8 Gen 2,Apple GPU,8,64,No,6.5,AMOLED,1440x3200,144,5000,33,No,108,12,8,50,4K@30fps,No,Yes,5.2,WiFi 5,No,In-display,Glass Front/Back,223,IP52
266,Vivo,Vivo Pro 266,56355,2025,Android 14,Dimensity 920,Adreno 740,6,64,No,6.5,LTPO AMOLED,1080x2400,144,5000,25,Yes,200,16,12,16,8K@24fps,Yes,Yes,5.3,WiFi 6E,Yes,In-display,Glass Front/Back,187,IP53
267,OnePlus,OnePlus Pro 267,12129,2026,Android 14,Snapdragon 7 Gen 1,Xclipse 920,4,128,No,6.1,OLED,720x1600,144,5000,33,Yes,108,50,8,16,8K@24fps,No,No,5.3,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,180,IP68
268,Apple,Apple Pro 268,138762,2024,Android 14,Snapdragon 8 Gen 2,Adreno 740,4,1024,Yes,6.7,OLED,1440x3200,90,6000,80,No,108,50,12,32,1080p@60fps,No,No,5.2,WiFi 6E,Yes,Rear-mounted,"Glass Front, Plastic Back",194,IP52
269,Realme,Realme Pro 269,125378,2026,Android 14,Snapdragon 8 Gen 2,Xclipse 920,4,512,No,6.5,AMOLED,1080x2400,90,5500,65,Yes,48,50,8,32,4K@60fps,Yes,No,5,WiFi 5,No,Rear-mounted,Glass Front/Back,226,IP67
270,Oppo,Oppo Pro 270,124029,2025,iOS 16,Snapdragon 8 Gen 2,Xclipse 920,8,1024,No,6.4,OLED,720x1600,90,4500,80,Yes,200,8,8,16,8K@24fps,No,No,5.1,WiFi 6E,No,Side-mounted,Glass Front/Back,181,IP53
271,Motorola,Motorola Pro 271,113368,2023,iOS 16,A16 Bionic,Adreno 740,4,64,No,6.5,AMOLED,1440x3200,144,5500,65,Yes,64,8,32,50,1080p@60fps,Yes,No,5,WiFi 5,No,Side-mounted,Glass Front/Back,204,IP68
272,Samsung,Samsung Pro 272,51441,2022,iOS 16,Snapdragon 8 Gen 1,Mali-G710,6,512,Yes,6.8,LTPO AMOLED,1440x3200,144,5500,25,Yes,50,8,8,32,1080p@60fps,No,No,5.1,WiFi 6,No,Rear-mounted,Glass Front/Back,195,No Rating
273,OnePlus,OnePlus Pro 273,74208,2022,iOS 17,Snapdragon 8 Gen 2,Adreno 740,12,1024,No,6.1,LTPO AMOLED,720x1600,60,6000,80,No,64,8,32,16,4K@60fps,No,No,5.2,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",160,IP52
274,Nothing,Nothing Pro 274,127753,2025,iOS 17,A16 Bionic,Xclipse 920,4,1024,Yes,6.5,AMOLED,720x1600,60,5000,80,No,64,16,12,50,8K@24fps,Yes,Yes,5.1,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",213,IP52
275,Vivo,Vivo Pro 275,86994,2021,iOS 16,Snapdragon 8 Gen 2,Adreno 730,4,512,Yes,6.7,AMOLED,1440x3200,60,6000,45,Yes,200,16,12,32,4K@60fps,No,No,5,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,216,IP53
276,Realme,Realme Pro 276,28391,2021,iOS 16,Dimensity 8200,Apple GPU,6,128,Yes,6.7,IPS LCD,1080x2400,120,4500,120,Yes,48,12,8,16,1080p@60fps,Yes,Yes,5.2,WiFi 5,No,Rear-mounted,Glass Front/Back,237,IP53
277,Samsung,Samsung Pro 277,125850,2023,iOS 16,Snapdragon 8 Gen 1,Adreno 730,4,1024,Yes,6.7,LTPO AMOLED,720x1600,120,6000,18,Yes,48,50,32,32,4K@60fps,Yes,Yes,5,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,190,IP68
278,Realme,Realme Pro 278,147223,2026,Android 14,A16 Bionic,Adreno 730,6,128,No,6.1,Super AMOLED,1080x2400,144,5500,45,Yes,64,16,12,50,8K@24fps,No,No,5.2,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",180,IP53
279,Realme,Realme Pro 279,123464,2025,iOS 17,Snapdragon 7 Gen 1,Apple GPU,4,512,No,6.8,OLED,1080x2400,144,5500,18,Yes,64,12,32,16,4K@60fps,Yes,Yes,5.1,WiFi 6E,Yes,Side-mounted,Glass Front/Back,170,IP68
280,OnePlus,OnePlus Pro 280,122090,2021,Android 14,Dimensity 8200,Apple GPU,16,256,No,6.8,OLED,720x1600,144,6000,120,No,200,12,8,32,8K@24fps,Yes,No,5.3,WiFi 6E,No,Side-mounted,Glass Front/Back,201,IP68
281,Nothing,Nothing Pro 281,58289,2025,iOS 17,Dimensity 920,Adreno 730,4,512,No,6.1,Super AMOLED,1440x3200,120,5500,25,No,48,12,32,8,8K@24fps,No,No,5.2,WiFi 5,No,Rear-mounted,Glass Front/Back,226,IP68
282,Motorola,Motorola Pro 282,14926,2022,Android 13,Snapdragon 8 Gen 1,Adreno 740,12,256,No,6.7,OLED,720x1600,90,5500,120,Yes,64,8,32,8,8K@24fps,Yes,Yes,5.2,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",192,No Rating
283,Apple,Apple Pro 283,103301,2026,iOS 17,Exynos 2200,Apple GPU,8,128,No,6.5,Super AMOLED,1080x2400,144,4000,80,No,108,50,32,32,4K@30fps,Yes,Yes,5.1,WiFi 6,No,In-display,"Glass Front, Plastic Back",214,IP67
284,Nothing,Nothing Pro 284,86720,2023,iOS 16,Snapdragon 8 Gen 2,Adreno 740,8,512,No,6.5,Super AMOLED,1080x2400,120,4500,45,No,108,12,8,8,8K@24fps,No,No,5.2,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",160,IP53
285,Samsung,Samsung Pro 285,99019,2026,iOS 16,Dimensity 8200,Xclipse 920,8,512,No,6.7,AMOLED,1080x2400,90,4000,25,Yes,200,8,8,16,4K@30fps,No,No,5.3,WiFi 5,Yes,In-display,Glass Front/Back,197,IP52
286,Nothing,Nothing Pro 286,123430,2026,iOS 16,Snapdragon 8 Gen 2,Mali-G710,8,512,Yes,6.1,OLED,720x1600,144,5500,65,Yes,50,12,12,8,8K@24fps,No,Yes,5,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,186,IP67
287,Samsung,Samsung Pro 287,69986,2021,iOS 16,Exynos 2200,Adreno 740,6,512,Yes,6.8,Super AMOLED,720x1600,120,5000,45,Yes,200,8,8,50,4K@60fps,No,No,5.1,WiFi 5,No,In-display,Glass Front/Back,161,IP68
288,Vivo,Vivo Pro 288,68678,2026,Android 13,Snapdragon 8 Gen 1,Adreno 740,8,64,No,6.7,AMOLED,1440x3200,120,5500,18,No,200,12,8,50,4K@30fps,No,Yes,5.1,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,180,IP68
289,Samsung,Samsung Pro 289,39911,2023,Android 14,A16 Bionic,Mali-G710,4,64,Yes,6.7,Super AMOLED,1440x3200,120,4000,33,Yes,50,8,32,50,8K@24fps,Yes,No,5.3,WiFi 6,No,Side-mounted,Glass Front/Back,170,IP67
290,OnePlus,OnePlus Pro 290,135849,2020,Android 13,A16 Bionic,Mali-G710,8,512,Yes,6.4,Super AMOLED,1080x2400,90,4000,33,Yes,48,12,8,8,1080p@60fps,Yes,No,5,WiFi 5,No,Side-mounted,"Glass Front, Plastic Back",170,IP67
291,Apple,Apple Pro 291,102752,2023,iOS 17,Dimensity 920,Apple GPU,4,512,Yes,6.1,LTPO AMOLED,720x1600,60,4500,18,No,64,8,32,8,1080p@60fps,Yes,No,5.3,WiFi 5,No,Side-mounted,Glass Front/Back,194,No Rating
